,nombre,cantidad_caracteres_nombre,tiene_foto_perfil,cantidad_seguidores,cantidad_seguidos,promedio_publicaciones,perfil_privado,dia_mas_publica,comenta_publicaciones,clase
0,Catalin31937081,largo,Sí,bajo,bajo,bajo,No,Sábado,Sí,Fake
1,JadeCrespo8,medio,Sí,bajo,medio,bajo,No,Martes,Sí,Fake
2,V12Ara,corto,Sí,bajo,bajo,bajo,No,Martes,Sí,Fake
3,BriannaLun_,medio,Sí,bajo,bajo,bajo,No,Martes,Sí,Fake
4,IsoldaMancillas,largo,Sí,bajo,bajo,bajo,No,Martes,Sí,Fake
5,bp252475057g,medio,No,bajo,bajo,bajo,No,Ninguno,No,Fake
6,JavierE16716229,largo,No,bajo,medio,bajo,No,Ninguno,No,Fake
7,BetsabeAguirre_,largo,Sí,bajo,bajo,bajo,No,Martes,Sí,Fake
8,x_h4a8qbmai,medio,Sí,medio,alto,bajo,No,Ninguno,Sí,Fake
9,MarthaPablo8,medio,Sí,bajo,bajo,bajo,No,Miércoles,Sí,Fake
10,AdejPeer,corto,Sí,bajo,bajo,bajo,No,Miércoles,Sí,Fake
11,PlaciddoG__,medio,Sí,bajo,bajo,bajo,No,Miércoles,Sí,Fake
12,Flooky124,medio,Sí,,bajo,bajo,No,Martes,Sí,Fake
13,Ka25402540,medio,No,bajo,bajo,bajo,No,Miércoles,Sí,Fake
14,Pastor10Denise,largo,Sí,bajo,medio,bajo,No,Martes,Sí,Fake
15,Camila76800538,largo,Sí,bajo,bajo,bajo,No,Sábado,Sí,Fake
16,AngelesFra_,medio,Sí,bajo,bajo,bajo,No,Ninguno,Sí,Fake
17,TNrCC4VoQpOGSWy,largo,Sí,bajo,medio,bajo,Sí,Ninguno,Sí,Fake
18,pim120430198853,largo,Sí,bajo,bajo,bajo,No,Miércoles,Sí,Fake
19,anahibravoab,medio,Sí,bajo,bajo,bajo,No,Martes,Sí,Fake
20,CondeJannet,medio,Sí,bajo,bajo,bajo,No,Lunes,Sí,Fake
21,OsccarC__,medio,Sí,bajo,bajo,bajo,No,Lunes,Sí,Fake
22,LuzDelgadilloC1,largo,Sí,bajo,bajo,bajo,No,Martes,Sí,Fake
23,JuniorM77528556,largo,Sí,medio,alto,medio,No,Domingo,Sí,Fake
24,SandyMedna_,medio,Sí,medio,medio,bajo,No,Jueves,Sí,Fake
25,Koy793402712469,largo,Sí,bajo,bajo,bajo,No,Miércoles,Sí,Fake
26,LorenaMart__,medio,Sí,bajo,bajo,bajo,No,Martes,Sí,Fake
27,HugoDom_,corto,Sí,bajo,bajo,bajo,No,Martes,Sí,Fake
28,OlgaGuadarrama7,largo,Sí,bajo,bajo,bajo,No,Domingo,Sí,Fake
29,MarielaTenorioG,largo,Sí,medio,medio,bajo,No,Miércoles,Sí,Fake
30,CataOsorio02,medio,Sí,bajo,bajo,medio,No,Miércoles,Sí,Fake
31,raquell_marin,medio,Sí,bajo,bajo,bajo,No,Sábado,Sí,Fake
32,PaolaRiv_as,medio,Sí,bajo,medio,bajo,No,Lunes,Sí,Fake
33,RitaZar_,corto,Sí,medio,medio,bajo,No,Lunes,Sí,Fake
34,CTheaa54152,medio,Sí,bajo,medio,bajo,No,Ninguno,Sí,Fake
35,wuthiwthnsceri1,largo,Sí,medio,medio,bajo,No,Jueves,Sí,Fake
36,mariana81588744,largo,Sí,bajo,bajo,bajo,No,Martes,Sí,Fake
37,AnaBelenDeJesu3,largo,Sí,bajo,bajo,bajo,No,Viernes,Sí,Fake
38,Letigon69,medio,Sí,bajo,bajo,bajo,No,Miércoles,Sí,Fake
39,DaroLupita,medio,Sí,bajo,bajo,bajo,No,Viernes,Sí,Fake
40,RoxanaC__,medio,Sí,bajo,bajo,bajo,No,Domingo,Sí,Fake
41,RebecaG__,medio,Sí,medio,medio,bajo,No,Lunes,Sí,Fake
42,ComSom978193451,largo,Sí,bajo,medio,medio,No,Lunes,Sí,Fake
43,GunGuntak,medio,Sí,bajo,alto,bajo,No,Sábado,Sí,Fake
44,MarioCal_deron_,largo,Sí,bajo,bajo,bajo,No,Martes,Sí,Fake
45,MagaliGarcia137,largo,Sí,bajo,bajo,bajo,No,Sábado,Sí,Fake
46,Liliana_Orte_,medio,Sí,bajo,bajo,bajo,No,Miércoles,Sí,Fake
47,AnaLuCamach,medio,Sí,medio,medio,bajo,No,Lunes,Sí,Fake
48,nickawayg2531,medio,Sí,bajo,bajo,medio,No,Miércoles,Sí,Fake
49,SilvinaMora10,medio,Sí,bajo,medio,bajo,No,Miércoles,Sí,Fake
50,SHerendia,medio,Sí,medio,alto,bajo,No,Sábado,Sí,Fake
51,dackcake,corto,Sí,bajo,bajo,bajo,No,Miércoles,Sí,Fake
52,mngkhl_dxk48275,largo,Sí,bajo,bajo,bajo,No,Lunes,Sí,Fake
53,Agustin47527800,largo,No,bajo,medio,bajo,No,Lunes,Sí,Fake
54,ErickOs__,medio,Sí,bajo,bajo,bajo,No,Martes,Sí,Fake
55,Lourdes05675148,largo,Sí,bajo,bajo,bajo,No,Lunes,Sí,Fake
56,Ricardo35210361,largo,Sí,bajo,bajo,bajo,No,Jueves,Sí,Fake
57,Ochoa98208Ochoa,largo,Sí,bajo,bajo,bajo,No,Ninguno,Sí,Fake
58,Violeta36310431,largo,Sí,medio,medio,bajo,No,Martes,Sí,Fake
59,YazminTlapa15,medio,Sí,bajo,bajo,bajo,No,Domingo,Sí,Fake
60,KarenCa21787865,largo,Sí,bajo,bajo,bajo,No,Martes,Sí,Fake
61,OfeliaGlvez,medio,Sí,alto,alto,bajo,No,Miércoles,Sí,Fake
62,rociosilvagon1,largo,Sí,medio,medio,medio,No,Martes,Sí,Fake
63,Roosa_io__,medio,Sí,bajo,bajo,bajo,No,Sábado,Sí,Fake
64,bp252445922,medio,Sí,bajo,bajo,bajo,No,Sábado,Sí,Fake
65,rakenena1,medio,Sí,bajo,bajo,bajo,No,Martes,Sí,Fake
66,HigaredaLulu,medio,Sí,alto,alto,medio,No,Miércoles,Sí,Fake
67,YesicaVillarea_,largo,Sí,bajo,bajo,bajo,No,Martes,Sí,Fake
68,JoelMen__,medio,Sí,bajo,bajo,bajo,No,Martes,Sí,Fake
69,PERLAZAIRA,medio,Sí,medio,medio,bajo,No,Martes,Sí,Fake
70,HortenciaSala_,largo,Sí,bajo,bajo,bajo,No,Martes,Sí,Fake
71,AdriancConde,medio,Sí,medio,medio,bajo,No,Miércoles,Sí,Fake
72,cFQD6xVuOIDx0IE,largo,Sí,bajo,bajo,bajo,No,Miércoles,Sí,Fake
73,marcelam2209,medio,Sí,medio,medio,bajo,No,Miércoles,Sí,Real
74,rzapatistadf,medio,Sí,alto,bajo,bajo,No,Martes,Sí,Real
75,Karmensan12,medio,Sí,alto,medio,bajo,No,Viernes,Sí,Real
76,RaulOrvananos,medio,Sí,,medio,medio,No,Miércoles,Sí,Real
77,rafapuente_espn,largo,Sí,,bajo,bajo,No,Martes,Sí,Real
78,Santyabad7,medio,Sí,bajo,medio,bajo,No,Sábado,Sí,Real
79,ritacoral22,medio,Sí,medio,medio,bajo,No,Jueves,Sí,Real
80,nataliaruiizv,medio,Sí,medio,medio,bajo,No,Martes,Sí,Real
81,puig_ricardo,medio,Sí,,medio,bajo,No,Lunes,Sí,Real
82,samespinosao,medio,Sí,,medio,bajo,No,Jueves,Sí,Real
83,msiendomeri,medio,Sí,medio,medio,bajo,No,Ninguno,Sí,Real
84,MissRavenPliss,largo,Sí,alto,alto,medio,No,Martes,Sí,Real
85,A_EsparzaOteo,medio,Sí,,medio,bajo,No,Miércoles,Sí,Real
86,antizkt,corto,Sí,medio,medio,bajo,No,Lunes,Sí,Real
87,YoseeGJ,corto,Sí,medio,medio,bajo,No,Miércoles,Sí,Real
88,CD_Cedoz,corto,Sí,alto,medio,bajo,No,Ninguno,Sí,Real
89,alfredodelmazo,largo,Sí,,medio,bajo,No,Sábado,Sí,Real
90,erik_lira,medio,Sí,,bajo,bajo,No,Ninguno,Sí,Real
91,karlaadoor,medio,Sí,medio,medio,bajo,No,Ninguno,Sí,Real
92,Ruthv___,corto,Sí,bajo,bajo,bajo,Sí,Sábado,Sí,Real
93,TitoVilla1982,medio,Sí,,medio,bajo,No,Ninguno,Sí,Real
94,cordova_sports,largo,Sí,,alto,medio,No,Sábado,Sí,Real
95,msiendomeri,medio,Sí,medio,medio,bajo,No,Miércoles,Sí,Real
96,Bere_niceray,medio,Sí,,medio,bajo,No,Viernes,Sí,Real
97,rafapuente_espn,largo,Sí,,bajo,bajo,No,Ninguno,Sí,Real
98,koyel10,corto,Sí,,alto,medio,No,Ninguno,Sí,Real
99,Jennifeermz,medio,Sí,bajo,bajo,bajo,No,Viernes,Sí,Real
100,daemoon_targary,largo,Sí,alto,alto,alto,No,Miércoles,Sí,Real
101,la_reinota_,medio,Sí,,medio,bajo,No,Miércoles,Sí,Real
102,pametorres1998,largo,Sí,medio,medio,bajo,No,Miércoles,Sí,Real
103,AG_26,corto,Sí,,medio,bajo,No,Ninguno,Sí,Real
104,ulisesurrutiac,largo,Sí,medio,alto,bajo,No,Domingo,Sí,Real
105,Caminoalandar2,largo,Sí,alto,medio,bajo,No,Jueves,Sí,Real
106,yarelinceballos,largo,Sí,bajo,bajo,bajo,No,Sábado,Sí,Real
107,Anibaljrlv00,medio,Sí,bajo,medio,bajo,No,Miércoles,Sí,Real
108,duvikah,corto,Sí,alto,alto,medio,No,Miércoles,Sí,Real
109,cordova_sports,largo,Sí,,alto,medio,No,Ninguno,Sí,Real
110,msiendomeri,medio,Sí,medio,medio,bajo,No,Jueves,Sí,Real
111,Anghm_20,corto,Sí,bajo,medio,bajo,No,Miércoles,Sí,Real
112,_pinchechicharo,largo,Sí,,medio,alto,No,Martes,Sí,Real
113,puig_ricardo,medio,Sí,,medio,bajo,No,Ninguno,Sí,Real
114,daemoon_targary,largo,Sí,alto,alto,alto,No,Ninguno,Sí,Real
115,kainatodes,medio,Sí,medio,medio,bajo,No,Miércoles,Sí,Real
116,Mariaaaaan_cs,medio,Sí,bajo,bajo,bajo,No,Ninguno,Sí,Real
117,emilol880,medio,Sí,bajo,bajo,bajo,No,Miércoles,Sí,Real
118,Alejand04527411,largo,Sí,bajo,bajo,bajo,Sí,Ninguno,Sí,Real
119,alexita_ret,medio,Sí,medio,bajo,bajo,No,Miércoles,Sí,Real
120,echemariana,medio,Sí,medio,medio,bajo,No,Viernes,Sí,Real
121,Littt_so,corto,Sí,bajo,bajo,bajo,Sí,Ninguno,Sí,Real
122,CD_Cedoz,corto,Sí,alto,medio,bajo,No,Lunes,Sí,Real
123,AndreGiovanniB,largo,Sí,medio,medio,bajo,No,Martes,Sí,Real
124,jonatansinh21,medio,Sí,alto,medio,medio,No,Miércoles,Sí,Real
125,_pinchechicharo,largo,Sí,,medio,alto,No,Ninguno,Sí,Real
126,MarianSsanchez_,largo,Sí,bajo,medio,bajo,No,Ninguno,Sí,Real
